Arrival Date,Arrival Date (Day),Arrival Date (Hour),Arrival Date (Minute),Arrival Date (Month),Arrival Date (Quarter),Arrival Date (Second),Arrival Date (Week),Arrival Date (Year),Arrival Date (Epoch days),Arrival Date (Epoch seconds),Dispatch Date,Dispatch Date (Day),Dispatch Date (Hour),Dispatch Date (Minute),Dispatch Date (Month),Dispatch Date (Quarter),Dispatch Date (Second),Dispatch Date (Week),Dispatch Date (Year),Dispatch Date (Epoch days),Dispatch Date (Epoch seconds),From Source,Ordered ID,To Destination,Truck ID,Warehouse IDs
"",,,,,,,,,0,0,10/1/2018,10,00,00,01,1,00,02,2018,17541,1515542400,WWE1001,ORD1009,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,11/1/2018,11,00,00,01,1,00,02,2018,17542,1515628800,WWE1001,ORD1010,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,12/1/2018,12,00,00,01,1,00,02,2018,17543,1515715200,WWE1001,ORD1011,SERVICEPROVIDER1010,TRU1001,WWE1001
15/1/2018,15,00,00,01,1,00,03,2018,17546,1515974400,13/1/2018,13,00,00,01,1,00,02,2018,17544,1515801600,WWE1001,ORD1012,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,14/1/2018,14,00,00,01,1,00,02,2018,17545,1515888000,WWE1001,ORD1013,SERVICEPROVIDER1010,TRU1001,WWE1001
17/1/2018,17,00,00,01,1,00,03,2018,17548,1516147200,15/1/2018,15,00,00,01,1,00,03,2018,17546,1515974400,WWE1001,ORD1014,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,16/1/2018,16,00,00,01,1,00,03,2018,17547,1516060800,WWE1001,ORD1015,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,17/1/2018,17,00,00,01,1,00,03,2018,17548,1516147200,WWE1001,ORD1016,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,18/1/2018,18,00,00,01,1,00,03,2018,17549,1516233600,WWE1001,ORD1017,SERVICEPROVIDER1010,TRU1001,WWE1001
20/1/2018,20,00,00,01,1,00,03,2018,17551,1516406400,19/1/2018,19,00,00,01,1,00,03,2018,17550,1516320000,WWE1001,ORD1018,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,20/1/2018,20,00,00,01,1,00,03,2018,17551,1516406400,WWE1001,ORD1019,SERVICEPROVIDER1010,TRU1001,WWE1001
22/1/2018,22,00,00,01,1,00,04,2018,17553,1516579200,21/1/2018,21,00,00,01,1,00,03,2018,17552,1516492800,WWE1001,ORD1020,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,22/1/2018,22,00,00,01,1,00,04,2018,17553,1516579200,WWE1001,ORD1021,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,23/1/2018,23,00,00,01,1,00,04,2018,17554,1516665600,WWE1001,ORD1022,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,24/1/2018,24,00,00,01,1,00,04,2018,17555,1516752000,WWE1001,ORD1023,SERVICEPROVIDER1010,TRU1001,WWE1001
26/1/2018,26,00,00,01,1,00,04,2018,17557,1516924800,25/1/2018,25,00,00,01,1,00,04,2018,17556,1516838400,WWE1001,ORD1024,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,26/1/2018,26,00,00,01,1,00,04,2018,17557,1516924800,WWE1001,ORD1025,SERVICEPROVIDER1010,TRU1001,WWE1001
28/1/2018,28,00,00,01,1,00,04,2018,17559,1517097600,27/1/2018,27,00,00,01,1,00,04,2018,17558,1517011200,WWE1001,ORD1026,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,28/1/2018,28,00,00,01,1,00,04,2018,17559,1517097600,WWE1001,ORD1027,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,29/1/2018,29,00,00,01,1,00,05,2018,17560,1517184000,WWE1001,ORD1028,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,30/1/2018,30,00,00,01,1,00,05,2018,17561,1517270400,WWE1001,ORD1029,SERVICEPROVIDER1010,TRU1001,WWE1001
1/2/2018,01,00,00,02,1,00,05,2018,17563,1517443200,31/1/2018,31,00,00,01,1,00,05,2018,17562,1517356800,WWE1001,ORD1030,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,1/2/2018,01,00,00,02,1,00,05,2018,17563,1517443200,WWE1001,ORD1031,SERVICEPROVIDER1010,TRU1001,WWE1001
3/2/2018,03,00,00,02,1,00,05,2018,17565,1517616000,2/2/2018,02,00,00,02,1,00,05,2018,17564,1517529600,WWE1001,ORD1032,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,3/2/2018,03,00,00,02,1,00,05,2018,17565,1517616000,WWE1001,ORD1033,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,4/2/2018,04,00,00,02,1,00,05,2018,17566,1517702400,WWE1001,ORD1034,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,5/2/2018,05,00,00,02,1,00,06,2018,17567,1517788800,WWE1001,ORD1035,SERVICEPROVIDER1010,TRU1001,WWE1001
7/2/2018,07,00,00,02,1,00,06,2018,17569,1517961600,6/2/2018,06,00,00,02,1,00,06,2018,17568,1517875200,WWE1001,ORD1036,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,7/2/2018,07,00,00,02,1,00,06,2018,17569,1517961600,WWE1001,ORD1037,SERVICEPROVIDER1010,TRU1001,WWE1001
9/2/2018,09,00,00,02,1,00,06,2018,17571,1518134400,8/2/2018,08,00,00,02,1,00,06,2018,17570,1518048000,WWE1001,ORD1038,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,9/2/2018,09,00,00,02,1,00,06,2018,17571,1518134400,WWE1001,ORD1039,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,10/2/2018,10,00,00,02,1,00,06,2018,17572,1518220800,WWE1001,ORD1040,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,11/2/2018,11,00,00,02,1,00,06,2018,17573,1518307200,WWE1001,ORD1041,SERVICEPROVIDER1010,TRU1001,WWE1001
13/2/2018,13,00,00,02,1,00,07,2018,17575,1518480000,12/2/2018,12,00,00,02,1,00,07,2018,17574,1518393600,WWE1001,ORD1042,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,13/2/2018,13,00,00,02,1,00,07,2018,17575,1518480000,WWE1001,ORD1043,SERVICEPROVIDER1010,TRU1001,WWE1001
15/2/2018,15,00,00,02,1,00,07,2018,17577,1518652800,14/2/2018,14,00,00,02,1,00,07,2018,17576,1518566400,WWE1001,ORD1044,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,15/2/2018,15,00,00,02,1,00,07,2018,17577,1518652800,WWE1001,ORD1045,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,16/2/2018,16,00,00,02,1,00,07,2018,17578,1518739200,WWE1001,ORD1046,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,17/2/2018,17,00,00,02,1,00,07,2018,17579,1518825600,WWE1001,ORD1047,SERVICEPROVIDER1018,TRU1001,WWE1001
19/2/2018,19,00,00,02,1,00,08,2018,17581,1518998400,18/2/2018,18,00,00,02,1,00,07,2018,17580,1518912000,WWE1001,ORD1048,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,19/2/2018,19,00,00,02,1,00,08,2018,17581,1518998400,WWE1001,ORD1049,SERVICEPROVIDER1018,TRU1001,WWE1001
21/2/2018,21,00,00,02,1,00,08,2018,17583,1519171200,20/2/2018,20,00,00,02,1,00,08,2018,17582,1519084800,WWE1001,ORD1050,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,21/2/2018,21,00,00,02,1,00,08,2018,17583,1519171200,WWE1001,ORD1051,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,22/2/2018,22,00,00,02,1,00,08,2018,17584,1519257600,WWE1001,ORD1052,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,23/2/2018,23,00,00,02,1,00,08,2018,17585,1519344000,WWE1001,ORD1053,SERVICEPROVIDER1018,TRU1001,WWE1001
25/2/2018,25,00,00,02,1,00,08,2018,17587,1519516800,24/2/2018,24,00,00,02,1,00,08,2018,17586,1519430400,WWE1001,ORD1054,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,25/2/2018,25,00,00,02,1,00,08,2018,17587,1519516800,WWE1001,ORD1055,SERVICEPROVIDER1018,TRU1001,WWE1001
27/2/2018,27,00,00,02,1,00,09,2018,17589,1519689600,26/2/2018,26,00,00,02,1,00,09,2018,17588,1519603200,WWE1001,ORD1056,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,27/2/2018,27,00,00,02,1,00,09,2018,17589,1519689600,WWE1001,ORD1057,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,28/2/2018,28,00,00,02,1,00,09,2018,17590,1519776000,WWE1001,ORD1058,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,1/3/2018,01,00,00,03,1,00,09,2018,17591,1519862400,WWE1001,ORD1059,SERVICEPROVIDER1018,TRU1001,WWE1001
4/3/2018,04,00,00,03,1,00,09,2018,17594,1520121600,2/3/2018,02,00,00,03,1,00,09,2018,17592,1519948800,WWE1001,ORD1060,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,3/3/2018,03,00,00,03,1,00,09,2018,17593,1520035200,WWE1001,ORD1061,SERVICEPROVIDER1018,TRU1001,WWE1001
6/3/2018,06,00,00,03,1,00,10,2018,17596,1520294400,4/3/2018,04,00,00,03,1,00,09,2018,17594,1520121600,WWE1001,ORD1062,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,5/3/2018,05,00,00,03,1,00,10,2018,17595,1520208000,WWE1001,ORD1063,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,6/3/2018,06,00,00,03,1,00,10,2018,17596,1520294400,WWE1001,ORD1064,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,7/3/2018,07,00,00,03,1,00,10,2018,17597,1520380800,WWE1001,ORD1065,SERVICEPROVIDER1018,TRU1001,WWE1001
10/3/2018,10,00,00,03,1,00,10,2018,17600,1520640000,8/3/2018,08,00,00,03,1,00,10,2018,17598,1520467200,WWE1001,ORD1066,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,9/3/2018,09,00,00,03,1,00,10,2018,17599,1520553600,WWE1001,ORD1067,SERVICEPROVIDER1018,TRU1001,WWE1001
12/3/2018,12,00,00,03,1,00,11,2018,17602,1520812800,10/3/2018,10,00,00,03,1,00,10,2018,17600,1520640000,WWE1001,ORD1068,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,11/3/2018,11,00,00,03,1,00,10,2018,17601,1520726400,WWE1001,ORD1069,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,12/3/2018,12,00,00,03,1,00,11,2018,17602,1520812800,WWE1001,ORD1070,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,13/3/2018,13,00,00,03,1,00,11,2018,17603,1520899200,WWE1001,ORD1071,SERVICEPROVIDER1018,TRU1001,WWE1001
16/3/2018,16,00,00,03,1,00,11,2018,17606,1521158400,14/3/2018,14,00,00,03,1,00,11,2018,17604,1520985600,WWE1001,ORD1072,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,15/3/2018,15,00,00,03,1,00,11,2018,17605,1521072000,WWE1001,ORD1073,SERVICEPROVIDER1018,TRU1001,WWE1001
18/3/2018,18,00,00,03,1,00,11,2018,17608,1521331200,16/3/2018,16,00,00,03,1,00,11,2018,17606,1521158400,WWE1001,ORD1074,SERVICEPROVIDER1018,TRU1001,WWE1001
"",,,,,,,,,0,0,17/3/2018,17,00,00,03,1,00,11,2018,17607,1521244800,WWE1001,ORD1075,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,18/3/2018,18,00,00,03,1,00,11,2018,17608,1521331200,WWE1001,ORD1076,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,19/3/2018,19,00,00,03,1,00,12,2018,17609,1521417600,WWE1001,ORD1077,SERVICEPROVIDER1019,TRU1001,WWE1001
22/3/2018,22,00,00,03,1,00,12,2018,17612,1521676800,20/3/2018,20,00,00,03,1,00,12,2018,17610,1521504000,WWE1001,ORD1078,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,21/3/2018,21,00,00,03,1,00,12,2018,17611,1521590400,WWE1001,ORD1079,SERVICEPROVIDER1019,TRU1001,WWE1001
24/3/2018,24,00,00,03,1,00,12,2018,17614,1521849600,22/3/2018,22,00,00,03,1,00,12,2018,17612,1521676800,WWE1001,ORD1080,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,23/3/2018,23,00,00,03,1,00,12,2018,17613,1521763200,WWE1001,ORD1081,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,24/3/2018,24,00,00,03,1,00,12,2018,17614,1521849600,WWE1001,ORD1082,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,25/3/2018,25,00,00,03,1,00,12,2018,17615,1521936000,WWE1001,ORD1083,SERVICEPROVIDER1019,TRU1001,WWE1001
28/3/2018,28,00,00,03,1,00,13,2018,17618,1522195200,26/3/2018,26,00,00,03,1,00,13,2018,17616,1522022400,WWE1001,ORD1084,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,27/3/2018,27,00,00,03,1,00,13,2018,17617,1522108800,WWE1001,ORD1085,SERVICEPROVIDER1019,TRU1001,WWE1001
30/3/2018,30,00,00,03,1,00,13,2018,17620,1522368000,28/3/2018,28,00,00,03,1,00,13,2018,17618,1522195200,WWE1001,ORD1086,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,29/3/2018,29,00,00,03,1,00,13,2018,17619,1522281600,WWE1001,ORD1087,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,30/3/2018,30,00,00,03,1,00,13,2018,17620,1522368000,WWE1001,ORD1088,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,31/3/2018,31,00,00,03,1,00,13,2018,17621,1522454400,WWE1001,ORD1089,SERVICEPROVIDER1019,TRU1001,WWE1001
3/4/2018,03,00,00,04,2,00,14,2018,17624,1522713600,1/4/2018,01,00,00,04,2,00,13,2018,17622,1522540800,WWE1001,ORD1090,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,2/4/2018,02,00,00,04,2,00,14,2018,17623,1522627200,WWE1001,ORD1091,SERVICEPROVIDER1019,TRU1001,WWE1001
5/4/2018,05,00,00,04,2,00,14,2018,17626,1522886400,3/4/2018,03,00,00,04,2,00,14,2018,17624,1522713600,WWE1001,ORD1092,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,4/4/2018,04,00,00,04,2,00,14,2018,17625,1522800000,WWE1001,ORD1093,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,5/4/2018,05,00,00,04,2,00,14,2018,17626,1522886400,WWE1001,ORD1094,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,6/4/2018,06,00,00,04,2,00,14,2018,17627,1522972800,WWE1001,ORD1095,SERVICEPROVIDER1019,TRU1001,WWE1001
9/4/2018,09,00,00,04,2,00,15,2018,17630,1523232000,7/4/2018,07,00,00,04,2,00,14,2018,17628,1523059200,WWE1001,ORD1096,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,8/4/2018,08,00,00,04,2,00,14,2018,17629,1523145600,WWE1001,ORD1097,SERVICEPROVIDER1019,TRU1001,WWE1001
11/4/2018,11,00,00,04,2,00,15,2018,17632,1523404800,9/4/2018,09,00,00,04,2,00,15,2018,17630,1523232000,WWE1001,ORD1098,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,10/4/2018,10,00,00,04,2,00,15,2018,17631,1523318400,WWE1001,ORD1099,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,11/4/2018,11,00,00,04,2,00,15,2018,17632,1523404800,WWE1001,ORD1100,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,12/4/2018,12,00,00,04,2,00,15,2018,17633,1523491200,WWE1001,ORD1101,SERVICEPROVIDER1019,TRU1001,WWE1001
15/4/2018,15,00,00,04,2,00,15,2018,17636,1523750400,13/4/2018,13,00,00,04,2,00,15,2018,17634,1523577600,WWE1001,ORD1102,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,14/4/2018,14,00,00,04,2,00,15,2018,17635,1523664000,WWE1001,ORD1103,SERVICEPROVIDER1019,TRU1001,WWE1001
17/4/2018,17,00,00,04,2,00,16,2018,17638,1523923200,15/4/2018,15,00,00,04,2,00,15,2018,17636,1523750400,WWE1001,ORD1104,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,16/4/2018,16,00,00,04,2,00,16,2018,17637,1523836800,WWE1001,ORD1105,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,17/4/2018,17,00,00,04,2,00,16,2018,17638,1523923200,WWE1001,ORD1106,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,18/4/2018,18,00,00,04,2,00,16,2018,17639,1524009600,WWE1001,ORD1107,SERVICEPROVIDER1019,TRU1001,WWE1001
21/4/2018,21,00,00,04,2,00,16,2018,17642,1524268800,19/4/2018,19,00,00,04,2,00,16,2018,17640,1524096000,WWE1001,ORD1108,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,20/4/2018,20,00,00,04,2,00,16,2018,17641,1524182400,WWE1001,ORD1109,SERVICEPROVIDER1019,TRU1001,WWE1001
22/4/2018,22,00,00,04,2,00,16,2018,17643,1524355200,21/4/2018,21,00,00,04,2,00,16,2018,17642,1524268800,WWE1001,ORD1110,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,22/4/2018,22,00,00,04,2,00,16,2018,17643,1524355200,WWE1001,ORD1111,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,23/4/2018,23,00,00,04,2,00,17,2018,17644,1524441600,WWE1001,ORD1112,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,24/4/2018,24,00,00,04,2,00,17,2018,17645,1524528000,WWE1001,ORD1113,SERVICEPROVIDER1019,TRU1001,WWE1001
26/4/2018,26,00,00,04,2,00,17,2018,17647,1524700800,25/4/2018,25,00,00,04,2,00,17,2018,17646,1524614400,WWE1001,ORD1114,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,26/4/2018,26,00,00,04,2,00,17,2018,17647,1524700800,WWE1001,ORD1115,SERVICEPROVIDER1019,TRU1001,WWE1001
28/4/2018,28,00,00,04,2,00,17,2018,17649,1524873600,27/4/2018,27,00,00,04,2,00,17,2018,17648,1524787200,WWE1001,ORD1116,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,28/4/2018,28,00,00,04,2,00,17,2018,17649,1524873600,WWE1001,ORD1117,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,29/4/2018,29,00,00,04,2,00,17,2018,17650,1524960000,WWE1001,ORD1118,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,30/4/2018,30,00,00,04,2,00,18,2018,17651,1525046400,WWE1001,ORD1119,SERVICEPROVIDER1019,TRU1001,WWE1001
2/5/2018,02,00,00,05,2,00,18,2018,17653,1525219200,1/5/2018,01,00,00,05,2,00,18,2018,17652,1525132800,WWE1001,ORD1120,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,2/5/2018,02,00,00,05,2,00,18,2018,17653,1525219200,WWE1001,ORD1121,SERVICEPROVIDER1019,TRU1001,WWE1001
4/5/2018,04,00,00,05,2,00,18,2018,17655,1525392000,3/5/2018,03,00,00,05,2,00,18,2018,17654,1525305600,WWE1001,ORD1122,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,4/5/2018,04,00,00,05,2,00,18,2018,17655,1525392000,WWE1001,ORD1123,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,5/5/2018,05,00,00,05,2,00,18,2018,17656,1525478400,WWE1001,ORD1124,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,6/5/2018,06,00,00,05,2,00,18,2018,17657,1525564800,WWE1001,ORD1125,SERVICEPROVIDER1019,TRU1001,WWE1001
8/5/2018,08,00,00,05,2,00,19,2018,17659,1525737600,7/5/2018,07,00,00,05,2,00,19,2018,17658,1525651200,WWE1001,ORD1126,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,8/5/2018,08,00,00,05,2,00,19,2018,17659,1525737600,WWE1001,ORD1127,SERVICEPROVIDER1019,TRU1001,WWE1001
10/5/2018,10,00,00,05,2,00,19,2018,17661,1525910400,9/5/2018,09,00,00,05,2,00,19,2018,17660,1525824000,WWE1001,ORD1128,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,10/5/2018,10,00,00,05,2,00,19,2018,17661,1525910400,WWE1001,ORD1129,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,11/5/2018,11,00,00,05,2,00,19,2018,17662,1525996800,WWE1001,ORD1130,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,12/5/2018,12,00,00,05,2,00,19,2018,17663,1526083200,WWE1001,ORD1131,SERVICEPROVIDER1019,TRU1001,WWE1001
14/5/2018,14,00,00,05,2,00,20,2018,17665,1526256000,13/5/2018,13,00,00,05,2,00,19,2018,17664,1526169600,WWE1001,ORD1132,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,14/5/2018,14,00,00,05,2,00,20,2018,17665,1526256000,WWE1001,ORD1133,SERVICEPROVIDER1019,TRU1001,WWE1001
16/5/2018,16,00,00,05,2,00,20,2018,17667,1526428800,15/5/2018,15,00,00,05,2,00,20,2018,17666,1526342400,WWE1001,ORD1134,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,16/5/2018,16,00,00,05,2,00,20,2018,17667,1526428800,WWE1001,ORD1135,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,17/5/2018,17,00,00,05,2,00,20,2018,17668,1526515200,WWE1001,ORD1136,SERVICEPROVIDER1019,TRU1001,WWE1001
"",,,,,,,,,0,0,18/5/2018,18,00,00,05,2,00,20,2018,17669,1526601600,WWE1001,ORD1137,SERVICEPROVIDER1019,TRU1001,WWE1001
20/5/2018,20,00,00,05,2,00,20,2018,17671,1526774400,19/5/2018,19,00,00,05,2,00,20,2018,17670,1526688000,WWE1001,ORD1138,SERVICEPROVIDER1020,TRU1001,WWE1001
"",,,,,,,,,0,0,20/5/2018,20,00,00,05,2,00,20,2018,17671,1526774400,WWE1001,ORD1139,SERVICEPROVIDER1020,TRU1001,WWE1001
22/5/2018,22,00,00,05,2,00,21,2018,17673,1526947200,21/5/2018,21,00,00,05,2,00,21,2018,17672,1526860800,WWE1001,ORD1140,SERVICEPROVIDER1020,TRU1001,WWE1001
"",,,,,,,,,0,0,22/5/2018,22,00,00,05,2,00,21,2018,17673,1526947200,WWE1001,ORD1141,SERVICEPROVIDER1020,TRU1001,WWE1001
"",,,,,,,,,0,0,23/5/2018,23,00,00,05,2,00,21,2018,17674,1527033600,WWE1001,ORD1142,SERVICEPROVIDER1020,TRU1001,WWE1001
"",,,,,,,,,0,0,24/5/2018,24,00,00,05,2,00,21,2018,17675,1527120000,WWE1001,ORD1143,SERVICEPROVIDER1020,TRU1001,WWE1001
26/5/2018,26,00,00,05,2,00,21,2018,17677,1527292800,25/5/2018,25,00,00,05,2,00,21,2018,17676,1527206400,WWE1001,ORD1144,SERVICEPROVIDER1020,TRU1001,WWE1001
"",,,,,,,,,0,0,26/5/2018,26,00,00,05,2,00,21,2018,17677,1527292800,WWE1001,ORD1145,SERVICEPROVIDER1020,TRU1001,WWE1001
28/5/2018,28,00,00,05,2,00,22,2018,17679,1527465600,27/5/2018,27,00,00,05,2,00,21,2018,17678,1527379200,WWE1001,ORD1146,SERVICEPROVIDER1020,TRU1001,WWE1001
"",,,,,,,,,0,0,28/5/2018,28,00,00,05,2,00,22,2018,17679,1527465600,WWE1001,ORD1147,SERVICEPROVIDER1020,TRU1001,WWE1001
