Actual Arrival Date,Actual Arrival Date (Day),Actual Arrival Date (Hour),Actual Arrival Date (Minute),Actual Arrival Date (Month),Actual Arrival Date (Quarter),Actual Arrival Date (Second),Actual Arrival Date (Week),Actual Arrival Date (Year),Actual Arrival Date (Epoch days),Actual Arrival Date (Epoch seconds),Communicating With(Provider ID and Customer ID),Customer ID,Order Stage,Order Type,Ordered Date,Ordered Date (Day),Ordered Date (Hour),Ordered Date (Minute),Ordered Date (Month),Ordered Date (Quarter),Ordered Date (Second),Ordered Date (Week),Ordered Date (Year),Ordered Date (Epoch days),Ordered Date (Epoch seconds),Ordered ID,Ordered Quantity,Product IDs,Product Name,Promised Arrival Date,Promised Arrival Date (Day),Promised Arrival Date (Hour),Promised Arrival Date (Minute),Promised Arrival Date (Month),Promised Arrival Date (Quarter),Promised Arrival Date (Second),Promised Arrival Date (Week),Promised Arrival Date (Year),Promised Arrival Date (Epoch days),Promised Arrival Date (Epoch seconds),Warehouse IDs
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Shipped,Delivery,11/1/2018,01,00,00,11,4,00,44,2018,17836,1541030400,ORD1011,300,PRO1011,Jellied eels,1/13/2018,13,00,00,01,1,00,02,2018,17544,1515801600,WWE1001
1/15/2018,15,00,00,01,1,00,03,2018,17546,1515974400,PROVIDER1022,SERVICEPROVIDER1010,Item Delivered,Delivery,12/1/2018,01,00,00,12,4,00,48,2018,17866,1543622400,ORD1012,500,PRO1012,MonkFish,1/14/2018,14,00,00,01,1,00,02,2018,17545,1515888000,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Ordered,Delivery,1/13/2018,13,00,00,01,1,00,02,2018,17544,1515801600,ORD1013,400,PRO1013,Basa,1/15/2018,15,00,00,01,1,00,03,2018,17546,1515974400,WWE1001
1/17/2018,17,00,00,01,1,00,03,2018,17548,1516147200,PROVIDER1022,SERVICEPROVIDER1010,Order Received,Delivery,1/14/2018,14,00,00,01,1,00,02,2018,17545,1515888000,ORD1014,500,PRO1014,Yoplait,1/16/2018,16,00,00,01,1,00,03,2018,17547,1516060800,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Picked,Delivery,1/15/2018,15,00,00,01,1,00,03,2018,17546,1515974400,ORD1015,300,PRO1015,Chobani,1/17/2018,17,00,00,01,1,00,03,2018,17548,1516147200,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Packaged,Delivery,1/16/2018,16,00,00,01,1,00,03,2018,17547,1516060800,ORD1016,400,PRO1016,Dannon,1/18/2018,18,00,00,01,1,00,03,2018,17549,1516233600,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Order Shipped,Delivery,1/17/2018,17,00,00,01,1,00,03,2018,17548,1516147200,ORD1017,500,PRO1017,Apple,1/19/2018,19,00,00,01,1,00,03,2018,17550,1516320000,WWE1001
1/20/2018,20,00,00,01,1,00,03,2018,17551,1516406400,PROVIDER1021,SERVICEPROVIDER1010,Item Delivered,Delivery,1/18/2018,18,00,00,01,1,00,03,2018,17549,1516233600,ORD1018,300,PRO1018,Banana,1/20/2018,20,00,00,01,1,00,03,2018,17551,1516406400,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Ordered,Delivery,1/19/2018,19,00,00,01,1,00,03,2018,17550,1516320000,ORD1019,500,PRO1019,Mango,1/21/2018,21,00,00,01,1,00,03,2018,17552,1516492800,WWE1001
1/22/2018,22,00,00,01,1,00,04,2018,17553,1516579200,PROVIDER1021,SERVICEPROVIDER1010,Order Received,Delivery,1/20/2018,20,00,00,01,1,00,03,2018,17551,1516406400,ORD1020,400,PRO1020,Orange,1/22/2018,22,00,00,01,1,00,04,2018,17553,1516579200,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Order Picked,Delivery,1/21/2018,21,00,00,01,1,00,03,2018,17552,1516492800,ORD1021,300,PRO1021,Strawberries,1/23/2018,23,00,00,01,1,00,04,2018,17554,1516665600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Packaged,Delivery,1/22/2018,22,00,00,01,1,00,04,2018,17553,1516579200,ORD1022,300,PRO1022,Adobe Breads,1/24/2018,24,00,00,01,1,00,04,2018,17555,1516752000,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Shipped,Delivery,1/23/2018,23,00,00,01,1,00,04,2018,17554,1516665600,ORD1023,300,PRO1023,Liberica,1/25/2018,25,00,00,01,1,00,04,2018,17556,1516838400,WWE1001
1/26/2018,26,00,00,01,1,00,04,2018,17557,1516924800,PROVIDER1022,SERVICEPROVIDER1010,Item Delivered,Delivery,1/24/2018,24,00,00,01,1,00,04,2018,17555,1516752000,ORD1024,300,PRO1024,Excelsa,1/26/2018,26,00,00,01,1,00,04,2018,17557,1516924800,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Ordered,Delivery,1/25/2018,25,00,00,01,1,00,04,2018,17556,1516838400,ORD1025,400,PRO1025,Bigelow�Tea�Company,1/27/2018,27,00,00,01,1,00,04,2018,17558,1517011200,WWE1001
1/28/2018,28,00,00,01,1,00,04,2018,17559,1517097600,PROVIDER1022,SERVICEPROVIDER1010,Order Received,Delivery,1/26/2018,26,00,00,01,1,00,04,2018,17557,1516924800,ORD1026,300,PRO1026,Yogi�Tea,1/28/2018,28,00,00,01,1,00,04,2018,17559,1517097600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Picked,Delivery,1/27/2018,27,00,00,01,1,00,04,2018,17558,1517011200,ORD1027,500,PRO1027,Chicken Packaged,1/29/2018,29,00,00,01,1,00,05,2018,17560,1517184000,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Packaged,Delivery,1/28/2018,28,00,00,01,1,00,04,2018,17559,1517097600,ORD1028,500,PRO1028,Beef Packaged,1/30/2018,30,00,00,01,1,00,05,2018,17561,1517270400,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Shipped,Delivery,1/29/2018,29,00,00,01,1,00,05,2018,17560,1517184000,ORD1029,400,PRO1029,Pork Packaged,1/31/2018,31,00,00,01,1,00,05,2018,17562,1517356800,WWE1001
1/2/2018,02,00,00,01,1,00,01,2018,17533,1514851200,PROVIDER1022,SERVICEPROVIDER1010,Item Delivered,Delivery,1/30/2018,30,00,00,01,1,00,05,2018,17561,1517270400,ORD1030,500,PRO1030,Philadelphia,1/2/2018,02,00,00,01,1,00,01,2018,17533,1514851200,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Ordered,Delivery,1/31/2018,31,00,00,01,1,00,05,2018,17562,1517356800,ORD1031,400,PRO1031,American Garden,2/2/2018,02,00,00,02,1,00,05,2018,17564,1517529600,WWE1001
3/2/2018,02,00,00,03,1,00,09,2018,17592,1519948800,PROVIDER1022,SERVICEPROVIDER1010,Order Received,Delivery,1/2/2018,02,00,00,01,1,00,01,2018,17533,1514851200,ORD1032,300,PRO1032,Chicken's Egg,3/2/2018,02,00,00,03,1,00,09,2018,17592,1519948800,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Order Picked,Delivery,2/2/2018,02,00,00,02,1,00,05,2018,17564,1517529600,ORD1033,400,PRO1033,Capcicums,4/2/2018,02,00,00,04,2,00,14,2018,17623,1522627200,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Packaged,Delivery,3/2/2018,02,00,00,03,1,00,09,2018,17592,1519948800,ORD1034,500,PRO1034,Milk Mist,5/2/2018,02,00,00,05,2,00,18,2018,17653,1525219200,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Shipped,Delivery,4/2/2018,02,00,00,04,2,00,14,2018,17623,1522627200,ORD1035,300,PRO1035,Nandini,6/2/2018,02,00,00,06,2,00,22,2018,17684,1527897600,WWE1001
7/2/2018,02,00,00,07,3,00,27,2018,17714,1530489600,PROVIDER1021,SERVICEPROVIDER1010,Item Delivered,Delivery,5/2/2018,02,00,00,05,2,00,18,2018,17653,1525219200,ORD1036,400,PRO1036,Pine Apple,7/2/2018,02,00,00,07,3,00,27,2018,17714,1530489600,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Ordered,Delivery,6/2/2018,02,00,00,06,2,00,22,2018,17684,1527897600,ORD1037,500,PRO1037,Goava,8/2/2018,02,00,00,08,3,00,31,2018,17745,1533168000,WWE1001
9/2/2018,02,00,00,09,3,00,35,2018,17776,1535846400,PROVIDER1022,SERVICEPROVIDER1010,Order Received,Delivery,7/2/2018,02,00,00,07,3,00,27,2018,17714,1530489600,ORD1038,300,PRO1038,Anadama Breads,9/2/2018,02,00,00,09,3,00,35,2018,17776,1535846400,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Picked,Delivery,8/2/2018,02,00,00,08,3,00,31,2018,17745,1533168000,ORD1039,400,PRO1039,Arabica,10/2/2018,02,00,00,10,4,00,40,2018,17806,1538438400,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Order Packaged,Delivery,9/2/2018,02,00,00,09,3,00,35,2018,17776,1535846400,ORD1040,500,PRO1040,Lettuce Leaf,11/2/2018,02,00,00,11,4,00,44,2018,17837,1541116800,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Shipped,Delivery,10/2/2018,02,00,00,10,4,00,40,2018,17806,1538438400,ORD1041,500,PRO1041,Zinfandel,12/2/2018,02,00,00,12,4,00,48,2018,17867,1543708800,WWE1001
2/13/2018,13,00,00,02,1,00,07,2018,17575,1518480000,PROVIDER1022,SERVICEPROVIDER1010,Item Delivered,Delivery,11/2/2018,02,00,00,11,4,00,44,2018,17837,1541116800,ORD1042,500,PRO1042,Syrah,2/13/2018,13,00,00,02,1,00,07,2018,17575,1518480000,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Ordered,Delivery,12/2/2018,02,00,00,12,4,00,48,2018,17867,1543708800,ORD1043,500,PRO1043,Chardonnay,2/14/2018,14,00,00,02,1,00,07,2018,17576,1518566400,WWE1001
2/15/2018,15,00,00,02,1,00,07,2018,17577,1518652800,PROVIDER1022,SERVICEPROVIDER1018,Order Received,Delivery,2/13/2018,13,00,00,02,1,00,07,2018,17575,1518480000,ORD1044,500,PRO1044,Merlot,2/15/2018,15,00,00,02,1,00,07,2018,17577,1518652800,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Picked,Delivery,2/14/2018,14,00,00,02,1,00,07,2018,17576,1518566400,ORD1045,500,PRO1045,Luzianne�,2/16/2018,16,00,00,02,1,00,07,2018,17578,1518739200,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Packaged,Delivery,2/15/2018,15,00,00,02,1,00,07,2018,17577,1518652800,ORD1046,500,PRO1046,Robusta,2/17/2018,17,00,00,02,1,00,07,2018,17579,1518825600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Shipped,Delivery,2/16/2018,16,00,00,02,1,00,07,2018,17578,1518739200,ORD1047,0,PRO1047,Red Diamond,2/18/2018,18,00,00,02,1,00,07,2018,17580,1518912000,WWE1001
2/19/2018,19,00,00,02,1,00,08,2018,17581,1518998400,PROVIDER1022,SERVICEPROVIDER1018,Item Delivered,Delivery,2/17/2018,17,00,00,02,1,00,07,2018,17579,1518825600,ORD1048,0,PRO1048,Boston Brown Breads,2/19/2018,19,00,00,02,1,00,08,2018,17581,1518998400,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Ordered,Delivery,2/18/2018,18,00,00,02,1,00,07,2018,17580,1518912000,ORD1049,0,PRO1049,Cuban Breads,2/20/2018,20,00,00,02,1,00,08,2018,17582,1519084800,WWE1001
2/21/2018,21,00,00,02,1,00,08,2018,17583,1519171200,PROVIDER1022,SERVICEPROVIDER1018,Order Received,Delivery,2/19/2018,19,00,00,02,1,00,08,2018,17581,1518998400,ORD1050,0,PRO1050,Grahum Breads,2/21/2018,21,00,00,02,1,00,08,2018,17583,1519171200,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Picked,Delivery,2/20/2018,20,00,00,02,1,00,08,2018,17582,1519084800,ORD1051,500,PRO1051,Tazo and Teavana,2/22/2018,22,00,00,02,1,00,08,2018,17584,1519257600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Packaged,Delivery,2/21/2018,21,00,00,02,1,00,08,2018,17583,1519171200,ORD1052,500,PRO1052,CANDLES,2/23/2018,23,00,00,02,1,00,08,2018,17585,1519344000,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Shipped,Delivery,2/22/2018,22,00,00,02,1,00,08,2018,17584,1519257600,ORD1053,400,PRO1053,FILM,2/24/2018,24,00,00,02,1,00,08,2018,17586,1519430400,WWE1001
2/25/2018,25,00,00,02,1,00,08,2018,17587,1519516800,PROVIDER1022,SERVICEPROVIDER1018,Item Delivered,Delivery,2/23/2018,23,00,00,02,1,00,08,2018,17585,1519344000,ORD1054,300,PRO1054,ARTWORK,2/25/2018,25,00,00,02,1,00,08,2018,17587,1519516800,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Ordered,Delivery,2/24/2018,24,00,00,02,1,00,08,2018,17586,1519430400,ORD1055,300,PRO1055,PLANTS,2/26/2018,26,00,00,02,1,00,09,2018,17588,1519603200,WWE1001
2/27/2018,27,00,00,02,1,00,09,2018,17589,1519689600,PROVIDER1022,SERVICEPROVIDER1018,Order Received,Delivery,2/25/2018,25,00,00,02,1,00,08,2018,17587,1519516800,ORD1056,400,PRO1056,LIPSTICK,2/27/2018,27,00,00,02,1,00,09,2018,17589,1519689600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Picked,Delivery,2/26/2018,26,00,00,02,1,00,09,2018,17588,1519603200,ORD1057,500,PRO1057,COLOGNE,2/28/2018,28,00,00,02,1,00,09,2018,17590,1519776000,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Packaged,Delivery,2/27/2018,27,00,00,02,1,00,09,2018,17589,1519689600,ORD1058,400,PRO1058,MEDICINE,1/3/2018,03,00,00,01,1,00,01,2018,17534,1514937600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Shipped,Delivery,2/28/2018,28,00,00,02,1,00,09,2018,17590,1519776000,ORD1059,500,PRO1059,Natural peanut butter,2/3/2018,03,00,00,02,1,00,05,2018,17565,1517616000,WWE1001
4/3/2018,03,00,00,04,2,00,14,2018,17624,1522713600,PROVIDER1022,SERVICEPROVIDER1018,Item Delivered,Delivery,1/3/2018,03,00,00,01,1,00,01,2018,17534,1514937600,ORD1060,300,PRO1060,Home-made cookies,3/3/2018,03,00,00,03,1,00,09,2018,17593,1520035200,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1018,Ordered,Delivery,2/3/2018,03,00,00,02,1,00,05,2018,17565,1517616000,ORD1061,400,PRO1061,Graden seeds,4/3/2018,03,00,00,04,2,00,14,2018,17624,1522713600,WWE1001
6/3/2018,03,00,00,06,2,00,22,2018,17685,1527984000,PROVIDER1021,SERVICEPROVIDER1018,Order Received,Delivery,3/3/2018,03,00,00,03,1,00,09,2018,17593,1520035200,ORD1062,300,PRO1062,Avocados,5/3/2018,03,00,00,05,2,00,18,2018,17654,1525305600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1018,Order Picked,Delivery,4/3/2018,03,00,00,04,2,00,14,2018,17624,1522713600,ORD1063,500,PRO1063,Whole wheat flour,6/3/2018,03,00,00,06,2,00,22,2018,17685,1527984000,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1018,Order Packaged,Delivery,5/3/2018,03,00,00,05,2,00,18,2018,17654,1525305600,ORD1064,400,PRO1064,Cut Flowers,7/3/2018,03,00,00,07,3,00,27,2018,17715,1530576000,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1018,Order Shipped,Delivery,6/3/2018,03,00,00,06,2,00,22,2018,17685,1527984000,ORD1065,500,PRO1065,Apricots,8/3/2018,03,00,00,08,3,00,31,2018,17746,1533254400,WWE1001
10/3/2018,03,00,00,10,4,00,40,2018,17807,1538524800,PROVIDER1022,SERVICEPROVIDER1018,Item Delivered,Delivery,7/3/2018,03,00,00,07,3,00,27,2018,17715,1530576000,ORD1066,300,PRO1066,Asparagus,9/3/2018,03,00,00,09,3,00,36,2018,17777,1535932800,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1018,Ordered,Delivery,8/3/2018,03,00,00,08,3,00,31,2018,17746,1533254400,ORD1067,400,PRO1067,Beans,10/3/2018,03,00,00,10,4,00,40,2018,17807,1538524800,WWE1001
12/3/2018,03,00,00,12,4,00,49,2018,17868,1543795200,PROVIDER1021,SERVICEPROVIDER1018,Order Received,Delivery,9/3/2018,03,00,00,09,3,00,36,2018,17777,1535932800,ORD1068,500,PRO1068,Broccoli,11/3/2018,03,00,00,11,4,00,44,2018,17838,1541203200,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1018,Order Picked,Delivery,10/3/2018,03,00,00,10,4,00,40,2018,17807,1538524800,ORD1069,300,PRO1069,Black berry,12/3/2018,03,00,00,12,4,00,49,2018,17868,1543795200,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1018,Order Packaged,Delivery,11/3/2018,03,00,00,11,4,00,44,2018,17838,1541203200,ORD1070,500,PRO1070,Cabbage,3/13/2018,13,00,00,03,1,00,11,2018,17603,1520899200,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1018,Order Shipped,Delivery,12/3/2018,03,00,00,12,4,00,49,2018,17868,1543795200,ORD1071,400,PRO1071,Cauliflower,3/14/2018,14,00,00,03,1,00,11,2018,17604,1520985600,WWE1001
3/16/2018,16,00,00,03,1,00,11,2018,17606,1521158400,PROVIDER1021,SERVICEPROVIDER1018,Item Delivered,Delivery,3/13/2018,13,00,00,03,1,00,11,2018,17603,1520899200,ORD1072,300,PRO1072,Cherries,3/15/2018,15,00,00,03,1,00,11,2018,17605,1521072000,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1018,Ordered,Delivery,3/14/2018,14,00,00,03,1,00,11,2018,17604,1520985600,ORD1073,300,PRO1073,Cucumber,3/16/2018,16,00,00,03,1,00,11,2018,17606,1521158400,WWE1001
3/18/2018,18,00,00,03,1,00,11,2018,17608,1521331200,PROVIDER1021,SERVICEPROVIDER1018,Order Received,Delivery,3/15/2018,15,00,00,03,1,00,11,2018,17605,1521072000,ORD1074,300,PRO1074,Brinjal,3/17/2018,17,00,00,03,1,00,11,2018,17607,1521244800,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1019,Order Picked,Delivery,3/16/2018,16,00,00,03,1,00,11,2018,17606,1521158400,ORD1075,300,PRO1075,Grapes,3/18/2018,18,00,00,03,1,00,11,2018,17608,1521331200,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1019,Order Packaged,Delivery,3/17/2018,17,00,00,03,1,00,11,2018,17607,1521244800,ORD1076,400,PRO1076,Lemons,3/19/2018,19,00,00,03,1,00,12,2018,17609,1521417600,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1019,Order Shipped,Delivery,3/18/2018,18,00,00,03,1,00,11,2018,17608,1521331200,ORD1077,300,PRO1077,Lettuce,3/20/2018,20,00,00,03,1,00,12,2018,17610,1521504000,WWE1001
3/22/2018,22,00,00,03,1,00,12,2018,17612,1521676800,PROVIDER1021,SERVICEPROVIDER1019,Item Delivered,Delivery,3/19/2018,19,00,00,03,1,00,12,2018,17609,1521417600,ORD1078,500,PRO1078,Lime,3/21/2018,21,00,00,03,1,00,12,2018,17611,1521590400,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1019,Ordered,Delivery,3/20/2018,20,00,00,03,1,00,12,2018,17610,1521504000,ORD1079,500,PRO1079,Melon water,3/22/2018,22,00,00,03,1,00,12,2018,17612,1521676800,WWE1001
3/24/2018,24,00,00,03,1,00,12,2018,17614,1521849600,PROVIDER1021,SERVICEPROVIDER1019,Order Received,Delivery,3/21/2018,21,00,00,03,1,00,12,2018,17611,1521590400,ORD1080,400,PRO1080,Peach,3/23/2018,23,00,00,03,1,00,12,2018,17613,1521763200,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1019,Order Picked,Delivery,3/22/2018,22,00,00,03,1,00,12,2018,17612,1521676800,ORD1081,500,PRO1081,Cod,3/24/2018,24,00,00,03,1,00,12,2018,17614,1521849600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1019,Order Packaged,Delivery,3/23/2018,23,00,00,03,1,00,12,2018,17613,1521763200,ORD1082,400,PRO1082,Salmon,3/25/2018,25,00,00,03,1,00,12,2018,17615,1521936000,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1019,Order Shipped,Delivery,3/24/2018,24,00,00,03,1,00,12,2018,17614,1521849600,ORD1083,300,PRO1083,Trout,3/26/2018,26,00,00,03,1,00,13,2018,17616,1522022400,WWE1001
3/28/2018,28,00,00,03,1,00,13,2018,17618,1522195200,PROVIDER1022,SERVICEPROVIDER1019,Item Delivered,Delivery,3/25/2018,25,00,00,03,1,00,12,2018,17615,1521936000,ORD1084,400,PRO1084,Tuna,3/27/2018,27,00,00,03,1,00,13,2018,17617,1522108800,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1019,Ordered,Delivery,3/26/2018,26,00,00,03,1,00,13,2018,17616,1522022400,ORD1085,500,PRO1085,Haddock,3/28/2018,28,00,00,03,1,00,13,2018,17618,1522195200,WWE1001
3/30/2018,30,00,00,03,1,00,13,2018,17620,1522368000,PROVIDER1022,SERVICEPROVIDER1019,Order Received,Delivery,3/27/2018,27,00,00,03,1,00,13,2018,17617,1522108800,ORD1086,300,PRO1086,Sea bream,3/29/2018,29,00,00,03,1,00,13,2018,17619,1522281600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1019,Order Picked,Delivery,3/28/2018,28,00,00,03,1,00,13,2018,17618,1522195200,ORD1087,400,PRO1087,Plaice,3/30/2018,30,00,00,03,1,00,13,2018,17620,1522368000,WWE1001
